x,y,curvature
346505.695048,4070182.10882,0.0
346505.972856,4070181.816227,0.0
346506.250665,4070181.523634,0.0
346506.528474,4070181.231041,0.0
346506.806282,4070180.938448,0.0
346507.084091,4070180.645854,0.0
346507.361899,4070180.353261,0.0
346507.639708,4070180.060668,0.0
346507.917517,4070179.768075,0.0
346508.195325,4070179.475481,0.0
346508.473134,4070179.182888,0.0
346508.750942,4070178.890295,0.0
346509.028751,4070178.597702,0.0
346509.30656,4070178.305108,0.0
346509.584368,4070178.012515,0.0
346509.862177,4070177.719922,0.0
346510.139985,4070177.427329,0.0
346510.417794,4070177.134735,0.0
346510.695603,4070176.842142,0.0
346510.973411,4070176.549549,0.0
346511.25122,4070176.256956,0.0
346511.529028,4070175.964362,0.0014382180898093295
346511.806837,4070175.671769,0.0032197140505233995
346512.084646,4070175.379176,0.004927234931329093
346512.362454,4070175.086583,0.006563839420468793
346512.640263,4070174.79399,0.008132664623299878
346512.918071,4070174.501396,0.02039361516527639
346513.19588,4070174.208803,0.031502523762208724
346513.473689,4070173.91621,0.04622301162408712
346513.751497,4070173.623617,0.0674917662551494
346514.145495,4070173.189267,0.10140151935319541
346514.539493,4070172.754918,0.13586094150852535
346514.834368,4070172.394487,0.16297486770273487
346515.129244,4070172.034055,0.18855085300032848
346515.424119,4070171.673624,0.21081083699922992
346515.718995,4070171.313192,0.22851581732956291
346515.887449,4070170.749721,0.23651561937448115
346516.055903,4070170.186251,0.2426310698937752
346516.004893,4070169.832035,0.24031827698852773
346515.896738,4070169.279083,0.23646358708248824
346515.537457,4070168.664057,0.22450273584968172
346515.164909,4070168.304521,0.20163736396007292
346514.86332,4070167.989687,0.17727640975212416
346514.561731,4070167.674853,0.14944121360962587
346514.260142,4070167.360019,0.12003631749216741
346513.958553,4070167.045184,0.09109120950890397
346513.656965,4070166.73035,0.06659799697070976
346513.355376,4070166.415516,0.04147556503776506
346513.053787,4070166.100682,0.031352881975838194
346512.758134,4070165.818084,0.01629023462827582
346512.462482,4070165.535486,0.007363761718295797
346512.166829,4070165.252887,0.007510362942469618
346511.871177,4070164.970289,0.006499409320974703
346511.575524,4070164.687691,0.005468375715611226
346511.279871,4070164.405093,0.004416968078574173
346510.984219,4070164.122495,0.0033448783637817013
346510.688566,4070163.839897,0.0022515108388971392
346510.392914,4070163.557298,0.0011368394724844714
346510.097261,4070163.2747,0.0
346509.801609,4070162.992102,0.0
346509.505956,4070162.709504,0.0
346509.210303,4070162.426906,0.0
346508.914651,4070162.144308,0.0
346508.618998,4070161.861709,0.0
346508.323346,4070161.579111,0.0
346508.027693,4070161.296513,0.0
346507.732041,4070161.013915,0.0
346507.436388,4070160.731317,0.0
346507.140735,4070160.448719,0.0
346506.845083,4070160.16612,0.0
346506.54943,4070159.883522,0.0
346506.253778,4070159.600924,0.0
346505.958125,4070159.318326,0.0
346505.662473,4070159.035728,0.0
346505.36682,4070158.75313,0.0
346505.071167,4070158.470531,0.0
346504.775515,4070158.187933,0.0
346504.479862,4070157.905335,0.0
346504.18421,4070157.622737,0.0
346503.888557,4070157.340139,0.0
346503.592904,4070157.057541,0.0
346503.297252,4070156.774942,0.0010413939259189934
346503.001599,4070156.492344,0.0011735221350455897
346502.705947,4070156.209746,0.0013060905973783044
346502.4121,4070155.931846,0.0011774609877281122
346502.118253,4070155.653945,0.0010484426544199543
346501.824406,4070155.376045,0.0
346501.530559,4070155.098145,0.0
346501.236711,4070154.820244,0.0
