x,y,curvature
346503.147804,4070184.300536,0.012212489928983937
346503.28819,4070184.154123,0.013980362179334148
346503.428575,4070184.00771,0.015753798166073422
346503.568961,4070183.861297,0.01753255331355546
346503.712829,4070183.721501,0.015806363288732778
346503.856698,4070183.581705,0.01407418242452067
346504.000566,4070183.441909,0.012335883431285676
346504.144435,4070183.302114,0.010590996436953399
346504.288303,4070183.162318,0.008840457287917082
346504.432172,4070183.022522,0.007084154168487951
346504.57604,4070182.882726,0.0053221381151219846
346504.719909,4070182.742931,0.0035534236619010505
346504.863777,4070182.603135,0.0017796467318221202
346505.007646,4070182.463339,0.0
346505.151514,4070182.323543,0.0
346505.295383,4070182.183748,0.0
346505.439251,4070182.043952,0.0
346505.58312,4070181.904156,0.0
346505.726988,4070181.76436,0.0
346505.870857,4070181.624565,0.0
346506.014725,4070181.484769,0.0
346506.158593,4070181.344973,0.0
346506.302462,4070181.205177,0.0
346506.44633,4070181.065381,0.0
346506.590199,4070180.925586,0.0
346506.734067,4070180.78579,0.0
346506.877936,4070180.645994,0.0
346507.021804,4070180.506198,0.0
346507.165673,4070180.366403,0.0
346507.309541,4070180.226607,0.0
346507.45341,4070180.086811,0.0
346507.597278,4070179.947015,0.0
346507.741147,4070179.80722,0.0
346507.885015,4070179.667424,0.0
346508.028884,4070179.527628,0.0
346508.172752,4070179.387832,0.0
346508.316621,4070179.248037,0.0
346508.460489,4070179.108241,0.0
346508.604358,4070178.968445,0.0
346508.748226,4070178.828649,0.0
346508.892094,4070178.688854,0.0
346509.035963,4070178.549058,0.0
346509.179831,4070178.409262,0.0
346509.3237,4070178.269466,0.0
346509.467568,4070178.129671,0.0
346509.611437,4070177.989875,0.0
346509.755305,4070177.850079,0.0
346509.899174,4070177.710283,0.0
346510.043042,4070177.570488,0.0
346510.186911,4070177.430692,0.0
346510.330779,4070177.290896,0.0
346510.474648,4070177.1511,0.0
346510.618516,4070177.011304,0.0
346510.762385,4070176.871509,0.0
346510.906253,4070176.731713,0.0
346511.050122,4070176.591917,0.0
346511.19399,4070176.452121,0.0
346511.337859,4070176.312326,0.0
346511.481727,4070176.17253,0.0
346511.625595,4070176.032734,0.0
346511.769464,4070175.892938,0.008297121797800995
346511.913332,4070175.753143,0.016065174259708312
346512.057201,4070175.613347,0.023335546239513814
346512.201069,4070175.473551,0.03495273985927445
346512.344938,4070175.333755,0.04519092347143286
346512.488806,4070175.19396,0.05885815600817577
346512.632675,4070175.054164,0.07099549121813124
346512.776543,4070174.914368,0.08471177634052328
346512.920412,4070174.774572,0.0980883941767163
346513.06428,4070174.634777,0.11108272864909778
346513.215543,4070174.439695,0.11338214284205597
346513.366806,4070174.244613,0.11624424111161381
346513.518069,4070174.049531,0.11964886646810202
346513.678915,4070173.808036,0.1275667631393344
346513.839761,4070173.566541,0.13734336878167555
346513.978093,4070173.314353,0.13995778577674856
346514.116424,4070173.062164,0.1462430608432297
346514.205138,4070172.864507,0.1463786934393454
346514.293852,4070172.66685,0.14669824745524584
346514.382566,4070172.469193,0.1495023800957397
346514.465463,4070172.279039,0.15318653933274834
346514.548359,4070172.088885,0.16374781732900667
346514.631255,4070171.898731,0.17267428870370005
346514.663039,4070171.679902,0.16779898909967955
346514.694822,4070171.461072,0.16567476435800044
346514.726606,4070171.242242,0.16768754528556531
346514.746754,4070171.038418,0.16842012960080813
346514.766901,4070170.834595,0.1720212945755793
346514.787049,4070170.630771,0.17789920789602237
346514.799519,4070170.330904,0.18041566358786731
346514.820316,4070169.997594,0.19843987632543025
346514.787756,4070169.67634,0.2019731752695089
346514.756194,4070169.410557,0.20558418207884785
346514.715705,4070169.144935,0.21709174125713865
346514.65836,4070168.935106,0.22334680409408764
346514.601415,4070168.747465,0.22714868189332035
346514.526617,4070168.560145,0.2262050640328553
346514.451819,4070168.372824,0.2247978803611728
346514.359069,4070168.180278,0.21839858817806845
346514.26632,4070167.987731,0.21397552287436922
346514.124626,4070167.804388,0.18804647170230007
346513.982933,4070167.621044,0.16803375014104407
346513.841239,4070167.437701,0.14707102090985139
346513.699546,4070167.254357,0.12639477298365073
346513.561358,4070167.108028,0.10408115060788653
346513.423171,4070166.961698,0.08349446959569584
346513.284983,4070166.815369,0.06653122405612588
346513.146796,4070166.669039,0.04958561666406917
346513.008608,4070166.52271,0.03523122596279487
346512.870421,4070166.37638,0.02070628669509963
346512.732234,4070166.230051,0.015866820079712844
346512.594046,4070166.083721,0.010808270830744877
346512.455859,4070165.937392,0.005522888181121319
346512.317671,4070165.791062,0.0
346512.179484,4070165.644733,0.0
346512.041296,4070165.498403,0.0
346511.903109,4070165.352074,0.0014267291731168993
346511.764921,4070165.205744,0.0028490268071589254
346511.626734,4070165.059415,0.004267595324772217
346511.488547,4070164.913085,0.005681675577073904
346511.350359,4070164.766756,0.007090900052124079
346511.212172,4070164.620426,0.008496474894430506
346511.073984,4070164.474097,0.009896786944078657
346510.935797,4070164.327767,0.011293567988685908
346510.797609,4070164.181438,0.012685377560565984
346510.659422,4070164.035108,0.014073260384851183
346510.515668,4070163.891314,0.01264701542296005
346510.371914,4070163.74752,0.011224917997026282
346510.228159,4070163.603726,0.009806624652813095
346510.084405,4070163.459932,0.008392705963585267
346509.940651,4070163.316138,0.0069835235268952325
346509.796897,4070163.172344,0.005578075377861838
346509.653143,4070163.028549,0.00417741702027293
346509.509389,4070162.884755,0.0027805491966756937
346509.365634,4070162.740961,0.001388010819438801
346509.22188,4070162.597167,0.0
346509.078126,4070162.453373,0.0
346508.934372,4070162.309579,0.0
346508.790618,4070162.165785,0.0
346508.646864,4070162.021991,0.0
346508.503109,4070161.878197,0.0
346508.359355,4070161.734403,0.0
346508.215601,4070161.590608,0.0
346508.071847,4070161.446814,0.0
346507.928093,4070161.30302,0.0
346507.784339,4070161.159226,0.0
346507.640584,4070161.015432,0.0
346507.49683,4070160.871638,0.0
346507.353076,4070160.727844,0.0
346507.209322,4070160.58405,0.0
346507.065568,4070160.440256,0.0
346506.921814,4070160.296462,0.0
346506.778059,4070160.152668,0.0
346506.634305,4070160.008873,0.0
346506.490551,4070159.865079,0.0
346506.346797,4070159.721285,0.0
346506.203043,4070159.577491,0.0
346506.059289,4070159.433697,0.0
346505.915534,4070159.289903,0.0
346505.77178,4070159.146109,0.0
346505.628026,4070159.002315,0.0
346505.484272,4070158.858521,0.0
346505.340518,4070158.714727,0.0
346505.196764,4070158.570932,0.0
346505.053009,4070158.427138,0.0
346504.909255,4070158.283344,0.0
346504.765501,4070158.13955,0.0
346504.621747,4070157.995756,0.0
346504.477993,4070157.851962,0.0
346504.334239,4070157.708168,0.0
346504.190484,4070157.564374,0.0
346504.04673,4070157.42058,0.0
346503.902976,4070157.276786,0.0
346503.759222,4070157.132991,0.0
346503.615468,4070156.989197,0.0
346503.471714,4070156.845403,0.001137762992287081
346503.327959,4070156.701609,0.0017095308208682318
346503.184205,4070156.557815,0.002283803215776485
346503.040451,4070156.414021,0.0028602440901473163
346502.896697,4070156.270227,0.003438688517456526
346502.752943,4070156.126433,0.004019658527203814
346502.609189,4070155.982639,0.004602644540570267
346502.465434,4070155.838845,0.005187481213858235
346502.32168,4070155.69505,0.005774869576326433
346502.17808,4070155.554724,0.005207149430431862
346502.034481,4070155.414398,0.004637606345283595
346501.890881,4070155.274072,0.004065717547616776
346501.747281,4070155.133746,0.003491474154093069
346501.603681,4070154.99342,0.0029146930846866022
346501.460082,4070154.853094,0.002336412858245443
346501.316482,4070154.712768,0.001755585242667507
346501.172882,4070154.572442,0.001172549671150185
346501.029282,4070154.432116,0.0
346500.885683,4070154.29179,0.0
346500.742083,4070154.151464,0.0
346500.598483,4070154.011138,0.0
346500.454883,4070153.870812,0.0
346500.311283,4070153.730486,0.0
346500.167684,4070153.590159,0.0
346500.024084,4070153.449833,0.0
346499.880484,4070153.309507,0.0
346499.736884,4070153.169181,0.0
346499.593285,4070153.028855,0.0
346499.449685,4070152.888529,0.0
346499.306085,4070152.748203,0.0
346499.162485,4070152.607877,0.0
346499.018886,4070152.467551,0.0
346498.875286,4070152.327225,0.0
346498.731686,4070152.186899,0.0
346498.588086,4070152.046573,0.0
346498.444486,4070151.906247,0.0
346498.300887,4070151.765921,0.0
346498.157287,4070151.625595,0.0
346498.013687,4070151.485268,0.0
346497.870087,4070151.344942,0.0
346497.726488,4070151.204616,0.0
346497.582888,4070151.06429,0.0
346497.439288,4070150.923964,0.0
346497.295688,4070150.783638,0.0
346497.152089,4070150.643312,0.0
346497.008489,4070150.502986,0.0
346496.864889,4070150.36266,0.0
346496.721289,4070150.222334,0.0
346496.577689,4070150.082008,0.0
346496.43409,4070149.941682,0.0
346496.29049,4070149.801356,0.0
346496.14689,4070149.66103,0.0
346496.00329,4070149.520703,0.0
346495.859691,4070149.380377,0.0
346495.716091,4070149.240051,0.0
346495.572491,4070149.099725,0.0
346495.428891,4070148.959399,0.0
346495.285292,4070148.819073,0.0
346495.141692,4070148.678747,0.0
346494.998092,4070148.538421,0.0
346494.854492,4070148.398095,0.0
346494.710892,4070148.257769,0.0
346494.567293,4070148.117443,0.0
346494.423693,4070147.977117,0.0
346494.280093,4070147.836791,0.0
346494.136493,4070147.696465,0.0014067286981530986
346493.992894,4070147.556139,0.002109761926519278
346493.849294,4070147.415812,0.0028117682876193724
346493.705694,4070147.275486,0.003512719911350236
346493.562094,4070147.13516,0.004213321442035695
346493.418495,4070146.994834,0.004913393012929388
346493.274895,4070146.854508,0.005612232496965483
346493.131295,4070146.714182,0.0063105342855242635
346492.987695,4070146.573856,0.007007944178069501
346492.841651,4070146.435111,0.006304114658426182
346492.695607,4070146.296365,0.005601311248515212
346492.549562,4070146.15762,0.004898299816105702
346492.403518,4070146.018875,0.0041963166570567955
346492.257474,4070145.880129,0.003495549677565123
346492.111429,4070145.741384,0.0027947628064808883
346491.965385,4070145.602639,0.002094847908044149
346491.819341,4070145.463893,0.0013961578270549728
