x,y,curvature,mission_tag,mission_param
332248.690823,4128608.192219,0,DRIVING,2.6
332248.49996,4128608.256719,0,DRIVING,2.6
332248.309096,4128608.321219,0,DRIVING,2.6
332248.118233,4128608.385719,0,DRIVING,2.6
332247.927369,4128608.45022,0,DRIVING,2.6
332247.736506,4128608.51472,0,DRIVING,2.6
332247.545642,4128608.57922,0,DRIVING,2.6
332247.354779,4128608.64372,0,DRIVING,2.6
332247.163915,4128608.708221,0,DRIVING,2.6
332246.973052,4128608.772721,0,DRIVING,2.6
332246.782188,4128608.837221,0,DRIVING,2.6
332246.591325,4128608.901721,0,DRIVING,2.6
332246.400461,4128608.966222,0,DRIVING,2.6
332246.209598,4128609.030722,0,DRIVING,2.6
332246.018735,4128609.095222,0,DRIVING,2.6
332245.827871,4128609.159722,0,DRIVING,2.6
332245.637008,4128609.224222,0,DRIVING,2.6
332245.446144,4128609.288723,0,DRIVING,2.6
332245.255281,4128609.353223,0,DRIVING,2.6
332245.064417,4128609.417723,0,DRIVING,2.6
332244.876669,4128609.487476,0,DRIVING,2.6
332244.688921,4128609.557228,0,DRIVING,2.6
332244.501173,4128609.626981,0,DRIVING,2.6
332244.313424,4128609.696734,0,DRIVING,2.6
332244.125676,4128609.766487,0,DRIVING,2.6
332243.937928,4128609.836239,0,DRIVING,2.6
332243.75018,4128609.905992,0,DRIVING,2.6
332243.562432,4128609.975745,0,DRIVING,2.6
332243.374684,4128610.045497,0,DRIVING,2.6
332243.186935,4128610.11525,0,DRIVING,2.6
332242.999187,4128610.185003,0,DRIVING,2.6
332242.811439,4128610.254755,0,DRIVING,2.6
332242.623691,4128610.324508,0,DRIVING,2.6
332242.435943,4128610.394261,0,DRIVING,2.6
332242.248194,4128610.464013,0,DRIVING,2.6
332242.060446,4128610.533766,0,DRIVING,2.6
332241.872698,4128610.603519,0,DRIVING,2.6
332241.68495,4128610.673271,0,DRIVING,2.6
332241.497202,4128610.743024,0,DRIVING,2.6
332241.309454,4128610.812777,0,DRIVING,2.6
332241.121705,4128610.882529,0,DRIVING,2.6
332240.933957,4128610.952282,0,DRIVING,2.6
332240.746209,4128611.022035,0,DRIVING,2.6
332240.558461,4128611.091787,0,DRIVING,2.6
332240.370713,4128611.16154,0,DRIVING,2.6
332240.182964,4128611.231293,0,DRIVING,2.6
332239.995216,4128611.301045,0,DRIVING,2.6
332239.807468,4128611.370798,0,DRIVING,2.6
332239.61972,4128611.440551,0,DRIVING,2.6
332239.431972,4128611.510303,0,DRIVING,2.6
332239.244224,4128611.580056,0,DRIVING,2.6
332239.056475,4128611.649809,0,DRIVING,2.6
332238.868727,4128611.719561,0,DRIVING,2.6
332238.680979,4128611.789314,0,DRIVING,2.6
332238.493231,4128611.859067,0,DRIVING,2.6
332238.305483,4128611.928819,0,DRIVING,2.6
332238.117734,4128611.998572,0,DRIVING,2.6
332237.929986,4128612.068325,0,DRIVING,2.6
332237.742238,4128612.138077,0,DRIVING,2.6
332237.55449,4128612.20783,0,DRIVING,2.6
332237.366742,4128612.277583,0,DRIVING,2.6
332237.178994,4128612.347335,0,DRIVING,2.6
332236.991245,4128612.417088,0,DRIVING,2.6
332236.803497,4128612.486841,0,DRIVING,2.6
332236.615749,4128612.556593,0,DRIVING,2.6
332236.428001,4128612.626346,0,DRIVING,2.6
332236.240253,4128612.696099,0,DRIVING,2.6
332236.052504,4128612.765851,0,DRIVING,2.6
332235.864756,4128612.835604,0,DRIVING,2.6
332235.677008,4128612.905357,0,DRIVING,2.6
332235.48926,4128612.975109,0,DRIVING,2.6
332235.301512,4128613.044862,0,DRIVING,2.6
332235.113764,4128613.114615,0,DRIVING,2.6
332234.926015,4128613.184367,0,DRIVING,2.6
332234.738267,4128613.25412,0,DRIVING,2.6
332234.546472,4128613.322825,0,DRIVING,2.6
332234.354677,4128613.39153,0,DRIVING,2.6
332234.162882,4128613.460235,0,DRIVING,2.6
332233.971086,4128613.52894,0,DRIVING,2.6
332233.779291,4128613.597645,0,DRIVING,2.6
332233.587496,4128613.66635,0,DRIVING,2.6
332233.395701,4128613.735055,0,DRIVING,2.6
332233.203906,4128613.80376,0,DRIVING,2.6
332233.01211,4128613.872465,0,DRIVING,2.6
332232.820315,4128613.94117,0,DRIVING,2.6
332232.62852,4128614.009875,0,DRIVING,2.6
332232.436725,4128614.07858,0,DRIVING,2.6
332232.244929,4128614.147285,0,DRIVING,2.6
332232.053134,4128614.21599,0,DRIVING,2.6
332231.861339,4128614.284695,0,DRIVING,2.6
332231.669544,4128614.3534,0,DRIVING,2.6
332231.477749,4128614.422105,0,DRIVING,2.6
332231.285953,4128614.49081,0,DRIVING,2.6
332231.094158,4128614.559515,0,DRIVING,2.6
332230.902363,4128614.62822,0,DRIVING,2.6
332230.710568,4128614.696925,0,DRIVING,2.6
332230.518773,4128614.765629,0,DRIVING,2.6
332230.326977,4128614.834334,0,DRIVING,2.6
332230.135182,4128614.903039,0,DRIVING,2.6
332229.943387,4128614.971744,0,DRIVING,2.6
332229.751592,4128615.040449,0,DRIVING,2.6
332229.559797,4128615.109154,0,DRIVING,2.6
332229.368001,4128615.177859,0,DRIVING,2.6
332229.176206,4128615.246564,0,DRIVING,2.6
332228.984411,4128615.315269,0,DRIVING,2.6
332228.792616,4128615.383974,0,DRIVING,2.6
332228.600821,4128615.452679,0,DRIVING,2.6
332228.411846,4128615.521873,0,DRIVING,2.6
332228.222872,4128615.591067,0,DRIVING,2.6
332228.033898,4128615.66026,0,DRIVING,2.6
332227.844923,4128615.729454,0,DRIVING,2.6
332227.655949,4128615.798648,0,DRIVING,2.6
332227.466975,4128615.867841,0,DRIVING,2.6
332227.278001,4128615.937035,0,DRIVING,2.6
332227.089026,4128616.006229,0,DRIVING,2.6
332226.900052,4128616.075423,0,DRIVING,2.6
332226.711078,4128616.144616,0,DRIVING,2.6
332226.522103,4128616.21381,0,DRIVING,2.6
332226.333129,4128616.283004,0,DRIVING,2.6
332226.144155,4128616.352198,0,DRIVING,2.6
332225.955181,4128616.421391,0,DRIVING,2.6
332225.766206,4128616.490585,0,DRIVING,2.6
332225.577232,4128616.559779,0,DRIVING,2.6
332225.388258,4128616.628972,0,DRIVING,2.6
332225.199283,4128616.698166,0,DRIVING,2.6
332225.010309,4128616.76736,0,DRIVING,2.6
332224.821335,4128616.836554,0,DRIVING,2.6
332224.632361,4128616.905747,0,DRIVING,2.6
332224.443386,4128616.974941,0,DRIVING,2.6
332224.254412,4128617.044135,0,DRIVING,2.6
332224.065438,4128617.113328,0,DRIVING,2.6
332223.876463,4128617.182522,0,DRIVING,2.6
332223.687489,4128617.251716,0,DRIVING,2.6
332223.498515,4128617.32091,0,DRIVING,2.6
332223.309541,4128617.390103,0,DRIVING,2.6
332223.117563,4128617.455708,0,DRIVING,2.6
332222.925585,4128617.521313,0,DRIVING,2.6
332222.733607,4128617.586918,0,DRIVING,2.6
332222.541629,4128617.652523,0,DRIVING,2.6
332222.349651,4128617.718128,0,DRIVING,2.6
332222.157673,4128617.783732,0,DRIVING,2.6
332221.965695,4128617.849337,0,DRIVING,2.6
332221.773717,4128617.914942,0,DRIVING,2.6
332221.581739,4128617.980547,0,DRIVING,2.6
332221.389762,4128618.046152,0,DRIVING,2.6
332221.197784,4128618.111757,0,DRIVING,2.6
332221.005806,4128618.177361,0,DRIVING,2.6
332220.813828,4128618.242966,0,DRIVING,2.6
332220.62185,4128618.308571,0,DRIVING,2.6
332220.429872,4128618.374176,0,DRIVING,2.6
332220.237894,4128618.439781,0,DRIVING,2.6
332220.045916,4128618.505386,0,DRIVING,2.6
332219.853938,4128618.570991,0,DRIVING,2.6
332219.66196,4128618.636595,0,DRIVING,2.6
332219.469983,4128618.7022,0,DRIVING,2.6
332219.278005,4128618.767805,0,DRIVING,2.6
332219.086027,4128618.83341,0,DRIVING,2.6
332218.894049,4128618.899015,0,DRIVING,2.6
332218.702071,4128618.96462,0,DRIVING,2.6
332218.510093,4128619.030224,0,DRIVING,2.6
332218.318115,4128619.095829,0,DRIVING,2.6
332218.126137,4128619.161434,0,DRIVING,2.6
332217.934159,4128619.227039,0,DRIVING,2.6
332217.742181,4128619.292644,0,DRIVING,2.6
332217.550204,4128619.358249,0,DRIVING,2.6
332217.358226,4128619.423854,0,DRIVING,2.6
332217.166248,4128619.489458,0,DRIVING,2.6
332216.97427,4128619.555063,0,DRIVING,2.6
332216.782292,4128619.620668,0,DRIVING,2.6
332216.590314,4128619.686273,0,DRIVING,2.6
332216.398336,4128619.751878,0,DRIVING,2.6
332216.206358,4128619.817483,0,DRIVING,2.6
332216.01438,4128619.883087,0,DRIVING,2.6
332215.822402,4128619.948692,0,DRIVING,2.6
332215.632371,4128620.019097,0,DRIVING,2.6
332215.44234,4128620.089501,0,DRIVING,2.6
