x,y,curvature,mission_tag,mission_param
346471.707467,4070217.472391,0,DRIVING,2.6
346471.848876,4070217.326161,0,DRIVING,2.6
346471.990285,4070217.179931,0,DRIVING,2.6
346472.131694,4070217.0337,0,DRIVING,2.6
346472.273103,4070216.88747,0,DRIVING,2.6
346472.414512,4070216.741239,0,DRIVING,2.6
346472.555921,4070216.595009,0,DRIVING,2.6
346472.69733,4070216.448779,0,DRIVING,2.6
346472.838739,4070216.302548,0,DRIVING,2.6
346472.980148,4070216.156318,0,DRIVING,2.6
346473.121558,4070216.010087,0,DRIVING,2.6
346473.262967,4070215.863857,0,DRIVING,2.6
346473.404376,4070215.717627,0,DRIVING,2.6
346473.545785,4070215.571396,0,DRIVING,2.6
346473.687194,4070215.425166,0,DRIVING,2.6
346473.828603,4070215.278936,0,DRIVING,2.6
346473.970012,4070215.132705,0,DRIVING,2.6
346474.111421,4070214.986475,0,DRIVING,2.6
346474.25283,4070214.840244,0,DRIVING,2.6
346474.394239,4070214.694014,0,DRIVING,2.6
346474.535648,4070214.547784,0,DRIVING,2.6
346474.677057,4070214.401553,0,DRIVING,2.6
346474.818466,4070214.255323,0,DRIVING,2.6
346474.959875,4070214.109092,0,DRIVING,2.6
346475.101284,4070213.962862,0,DRIVING,2.6
346475.242694,4070213.816632,0,DRIVING,2.6
346475.384103,4070213.670401,0,DRIVING,2.6
346475.525512,4070213.524171,0,DRIVING,2.6
346475.666921,4070213.37794,0,DRIVING,2.6
346475.80833,4070213.23171,0,DRIVING,2.6
346475.949739,4070213.08548,0,DRIVING,2.6
346476.091148,4070212.939249,0,DRIVING,2.6
346476.232557,4070212.793019,0,DRIVING,2.6
346476.373966,4070212.646789,0,DRIVING,2.6
346476.515375,4070212.500558,0,DRIVING,2.6
346476.656784,4070212.354328,0,DRIVING,2.6
346476.798193,4070212.208097,0,DRIVING,2.6
346476.939602,4070212.061867,0,DRIVING,2.6
346477.081011,4070211.915637,0,DRIVING,2.6
346477.221438,4070211.770895,0,DRIVING,2.6
346477.361864,4070211.626154,0,DRIVING,2.6
346477.502291,4070211.481412,0,DRIVING,2.6
346477.642718,4070211.33667,0,DRIVING,2.6
346477.783144,4070211.191929,0,DRIVING,2.6
346477.923571,4070211.047187,0,DRIVING,2.6
346478.063997,4070210.902446,0,DRIVING,2.6
