x,y,curvature,mission_tag,mission_param
346501.900738,4070185.928704,0.001051,DRIVING,1.940000
346502.181549,4070185.643276,0.000250,DRIVING,1.940000
346502.462416,4070185.357849,0.000550,DRIVING,1.940000
346502.743257,4070185.072321,0.001350,DRIVING,1.940000
346503.023995,4070184.786590,0.002149,DRIVING,1.940000
346503.304551,4070184.500552,0.002946,DRIVING,1.940000
346503.584846,4070184.214105,0.003742,DRIVING,1.940000
346503.864801,4070183.927145,0.004536,DRIVING,1.940000
346504.144336,4070183.639571,0.005327,DRIVING,1.940000
346504.423374,4070183.351278,0.006116,DRIVING,1.940000
346504.701835,4070183.062165,0.006902,DRIVING,1.940000
346504.979641,4070182.772129,0.007684,DRIVING,1.940000
346505.256712,4070182.481066,0.008462,DRIVING,1.940000
346505.532992,4070182.188908,0.006829,DRIVING,1.940000
346505.808605,4070181.895849,0.004557,DRIVING,1.940000
346506.083753,4070181.602207,0.002292,DRIVING,1.940000
346506.358642,4070181.308299,0.000029,DRIVING,1.940000
346506.633477,4070181.014442,0.002235,DRIVING,1.940000
346506.908464,4070180.720952,0.004507,DRIVING,1.940000
346507.183805,4070180.428149,0.006789,DRIVING,1.940000
346507.459708,4070180.136348,0.009087,DRIVING,1.940000
346507.736376,4070179.845868,0.011406,DRIVING,1.940000
346508.014014,4070179.557025,0.013748,DRIVING,1.940000
346508.292828,4070179.270137,0.016118,DRIVING,1.940000
346508.573022,4070178.985521,0.018519,DRIVING,1.940000
346508.854802,4070178.703495,0.020954,DRIVING,1.940000
346509.138370,4070178.424375,0.021995,DRIVING,1.940000
346509.423756,4070178.148171,0.016318,DRIVING,1.940000
346509.710562,4070177.874165,0.010563,DRIVING,1.940000
346509.998334,4070177.601534,0.004764,DRIVING,1.940000
346510.286612,4070177.329453,0.001048,DRIVING,1.940000
346510.574942,4070177.057098,0.006840,DRIVING,1.940000
346510.862865,4070176.783644,0.012582,DRIVING,1.940000
346511.149925,4070176.508268,0.018243,DRIVING,1.940000
346511.435664,4070176.230145,0.023788,DRIVING,1.940000
346511.719627,4070175.948450,0.029181,DRIVING,1.940000
346512.001356,4070175.662360,0.034383,DRIVING,1.940000
346512.280395,4070175.371050,0.039351,DRIVING,1.940000
346512.556285,4070175.073697,0.044041,DRIVING,1.940000
346512.828572,4070174.769475,0.048404,DRIVING,1.940000
346513.096735,4070174.457603,0.054646,DRIVING,1.940000
346513.359219,4070174.138008,0.063116,DRIVING,1.940000
346513.613603,4070173.811211,0.072585,DRIVING,1.940000
346513.857438,4070173.477749,0.083320,DRIVING,1.940000
346514.088275,4070173.138162,0.095596,DRIVING,1.940000
346514.303667,4070172.792987,0.109684,DRIVING,1.940000
346514.501165,4070172.442763,0.125825,DRIVING,1.940000
346514.678321,4070172.088028,0.144177,DRIVING,1.940000
346514.832687,4070171.729320,0.164730,DRIVING,1.940000
346514.961815,4070171.367178,0.187176,DRIVING,1.940000
346515.063256,4070171.002139,0.210757,DRIVING,1.940000
346515.134561,4070170.634742,0.234108,DRIVING,1.940000
346515.173284,4070170.265526,0.255203,DRIVING,1.940000
346515.176976,4070169.895028,0.271512,DRIVING,1.940000
346515.143209,4070169.523792,0.269966,DRIVING,1.940000
346515.071420,4070169.152836,0.239874,DRIVING,1.940000
346514.964319,4070168.784012,0.212410,DRIVING,1.940000
346514.824947,4070168.419255,0.188684,DRIVING,1.940000
346514.656346,4070168.060502,0.169015,DRIVING,1.940000
346514.461557,4070167.709687,0.153300,DRIVING,1.940000
346514.243623,4070167.368748,0.141277,DRIVING,1.940000
346514.005584,4070167.039619,0.132671,DRIVING,1.940000
346513.750482,4070166.724222,0.123066,DRIVING,1.940000
346513.481205,4070166.423024,0.102069,DRIVING,1.940000
346513.200365,4070166.133788,0.080212,DRIVING,1.940000
346512.910541,4070165.853986,0.058041,DRIVING,1.940000
346512.614314,4070165.581091,0.035824,DRIVING,1.940000
346512.314264,4070165.312572,0.013623,DRIVING,1.940000
346512.012972,4070165.045903,0.008632,DRIVING,1.940000
346511.713014,4070164.778556,0.026336,DRIVING,1.940000
346511.416166,4070164.508774,0.024026,DRIVING,1.940000
346511.122366,4070164.236549,0.021676,DRIVING,1.940000
346510.831296,4070163.962123,0.019290,DRIVING,1.940000
346510.542638,4070163.685734,0.016877,DRIVING,1.940000
346510.256073,4070163.407623,0.014441,DRIVING,1.940000
346509.971283,4070163.128029,0.011988,DRIVING,1.940000
346509.687951,4070162.847192,0.009522,DRIVING,1.940000
346509.405758,4070162.565351,0.007047,DRIVING,1.940000
346509.124386,4070162.282747,0.004566,DRIVING,1.940000
346508.843517,4070161.999618,0.002084,DRIVING,1.940000
346508.562833,4070161.716204,0.000397,DRIVING,1.940000
346508.282015,4070161.432746,0.002874,DRIVING,1.940000
346508.000746,4070161.149482,0.005344,DRIVING,1.940000
346507.718733,4070160.866634,0.005697,DRIVING,1.940000
346507.435910,4070160.584258,0.005390,DRIVING,1.940000
346507.152317,4070160.302333,0.005084,DRIVING,1.940000
346506.867999,4070160.020834,0.004779,DRIVING,1.940000
346506.583000,4070159.739738,0.004476,DRIVING,1.940000
346506.297363,4070159.459020,0.004175,DRIVING,1.940000
346506.011132,4070159.178659,0.003874,DRIVING,1.940000
346505.724350,4070158.898629,0.003575,DRIVING,1.940000
346505.437062,4070158.618907,0.003277,DRIVING,1.940000
346505.149310,4070158.339470,0.002979,DRIVING,1.940000
346504.861138,4070158.060294,0.002683,DRIVING,1.940000
346504.572590,4070157.781355,0.002387,DRIVING,1.940000
346504.283710,4070157.502630,0.002092,DRIVING,1.940000
346503.994542,4070157.224095,0.001798,DRIVING,1.940000
346503.705128,4070156.945726,0.001504,DRIVING,1.940000
346503.415512,4070156.667500,0.001211,DRIVING,1.940000
346503.125739,4070156.389393,0.000917,DRIVING,1.940000
346502.835851,4070156.111382,0.000624,DRIVING,1.940000
346502.545893,4070155.833443,0.000332,DRIVING,1.940000
346502.255908,4070155.555552,0.000039,DRIVING,1.940000
346501.965940,4070155.277685,0.000254,DRIVING,1.940000
346501.676032,4070154.999820,0.000547,DRIVING,1.940000
346501.386227,4070154.721931,0.000841,DRIVING,1.940000
346501.096571,4070154.443997,0.001135,DRIVING,1.940000
346500.807105,4070154.165993,0.001429,DRIVING,1.940000
346500.517875,4070153.887895,0.001724,DRIVING,1.940000
346500.228923,4070153.609680,0.002020,DRIVING,1.940000
346499.940289,4070153.331326,0.002010,DRIVING,1.940000
346499.651975,4070153.052833,0.001868,DRIVING,1.940000
346499.363961,4070152.774211,0.001725,DRIVING,1.940000
346499.076223,4070152.495472,0.001582,DRIVING,1.940000
346498.788742,4070152.216628,0.001439,DRIVING,1.940000
346498.501496,4070151.937690,0.001295,DRIVING,1.940000
346498.214463,4070151.658670,0.001151,DRIVING,1.940000
346497.927622,4070151.379579,0.001007,DRIVING,1.940000
346497.640951,4070151.100430,0.000863,DRIVING,1.940000
346497.354429,4070150.821232,0.000719,DRIVING,1.940000
346497.068035,4070150.541998,0.000574,DRIVING,1.940000
346496.781748,4070150.262740,0.000429,DRIVING,1.940000
346496.495545,4070149.983469,0.000284,DRIVING,1.940000
346496.209406,4070149.704196,0.000139,DRIVING,1.940000
346495.923309,4070149.424934,0.000006,DRIVING,1.940000
346495.637232,4070149.145693,0.000151,DRIVING,1.940000
346495.351155,4070148.866485,0.000297,DRIVING,1.940000
346495.065056,4070148.587321,0.000442,DRIVING,1.940000
346494.778913,4070148.308214,0.000587,DRIVING,1.940000
346494.492705,4070148.029174,0.000732,DRIVING,1.940000
346494.206411,4070147.750214,0.000877,DRIVING,1.940000
346493.920009,4070147.471344,0.001022,DRIVING,1.940000
346493.633478,4070147.192577,0.001167,DRIVING,1.940000
346493.346796,4070146.913923,0.001312,DRIVING,1.940000
346493.059942,4070146.635395,0.001457,DRIVING,1.940000
346492.772896,4070146.357004,0.001601,DRIVING,1.940000
346492.485634,4070146.078761,0.001745,DRIVING,1.940000
346492.198136,4070145.800678,0.001889,DRIVING,1.940000
346491.910380,4070145.522767,0.002033,DRIVING,1.940000
346491.622346,4070145.245038,0.002176,DRIVING,1.940000
346491.334011,4070144.967504,0.002319,DRIVING,1.940000
346491.045355,4070144.690176,0.002462,DRIVING,1.940000
346490.756355,4070144.413066,0.002605,DRIVING,1.940000
346490.466991,4070144.136185,0.002747,DRIVING,1.940000
346490.177240,4070143.859544,0.002888,DRIVING,1.940000
346489.887083,4070143.583156,0.003029,DRIVING,1.940000
346489.596496,4070143.307031,0.003170,DRIVING,1.940000
346489.305459,4070143.031182,0.003310,DRIVING,1.940000
346489.013951,4070142.755620,0.003450,DRIVING,1.940000
346488.721950,4070142.480355,0.003589,DRIVING,1.940000
346488.429434,4070142.205401,0.003728,DRIVING,1.940000
346488.136382,4070141.930768,0.003866,DRIVING,1.940000
346487.842773,4070141.656468,0.004003,DRIVING,1.940000
346487.548586,4070141.382512,0.004140,DRIVING,1.940000
346487.253799,4070141.108912,0.004275,DRIVING,1.940000
346486.958390,4070140.835680,0.004411,DRIVING,1.940000
346486.662338,4070140.562827,0.004545,DRIVING,1.940000
346486.365622,4070140.290365,0.004679,DRIVING,1.940000
346486.068220,4070140.018304,0.004812,DRIVING,1.940000
346485.770112,4070139.746657,0.004944,DRIVING,1.940000
346485.471275,4070139.475436,0.005075,DRIVING,1.940000
346485.171688,4070139.204651,0.005205,DRIVING,1.940000
346484.871330,4070138.934314,0.005334,DRIVING,1.940000
346484.570179,4070138.664437,0.005463,DRIVING,1.940000
346484.268167,4070138.395187,0.014429,DRIVING,1.940000
346483.964860,4070138.127949,0.026033,DRIVING,1.940000
346483.659650,4070137.864684,0.038014,DRIVING,1.940000
