x,y,curvature,mission_tag,mission_param
346499.118689,4070188.809163,0,DRIVING,1.94
346499.259874,4070188.663521,0,DRIVING,1.94
346499.40106,4070188.51788,0,DRIVING,1.94
346499.542245,4070188.372238,0,DRIVING,1.94
346499.683431,4070188.226596,0,DRIVING,1.94
346499.824616,4070188.080954,0,DRIVING,1.94
346499.965802,4070187.935312,0,DRIVING,1.94
346500.106987,4070187.78967,0,DRIVING,1.94
346500.248173,4070187.644029,0,DRIVING,1.94
346500.389358,4070187.498387,0,DRIVING,1.94
346500.530544,4070187.352745,0,DRIVING,1.94
346500.671729,4070187.207103,0,DRIVING,1.94
346500.812915,4070187.061461,0,DRIVING,1.94
346500.9541,4070186.915819,0,DRIVING,1.94
346501.094349,4070186.770347,0,DRIVING,1.94
346501.234598,4070186.624876,0,DRIVING,1.94
346501.374847,4070186.479404,0,DRIVING,1.94
346501.515096,4070186.333932,0,DRIVING,1.94
346501.655344,4070186.18846,0,DRIVING,1.94
346501.795593,4070186.042988,0,DRIVING,1.94
346501.935842,4070185.897516,0,DRIVING,1.94
346502.076091,4070185.752044,0,DRIVING,1.94
346502.21634,4070185.606572,0,DRIVING,1.94
346502.356589,4070185.4611,0,DRIVING,1.94
346502.496838,4070185.315628,0,DRIVING,1.94
346502.637086,4070185.170156,0,DRIVING,1.94
346502.777335,4070185.024685,0,DRIVING,1.94
346502.917584,4070184.879213,0,DRIVING,1.94
346503.057833,4070184.733741,0,DRIVING,1.94
346503.198082,4070184.588269,0,DRIVING,1.94
346503.338331,4070184.442797,0,DRIVING,1.94
346503.47858,4070184.297325,0,DRIVING,1.94
346503.618828,4070184.151853,0,DRIVING,1.94
346503.759077,4070184.006381,0,DRIVING,1.94
346503.899326,4070183.860909,0,DRIVING,1.94
346504.039575,4070183.715437,0,DRIVING,1.94
346504.179824,4070183.569965,0,DRIVING,1.94
346504.320073,4070183.424493,0,DRIVING,1.94
346504.460321,4070183.279022,0,DRIVING,1.94
346504.60057,4070183.13355,0,DRIVING,1.94
346504.740819,4070182.988078,0,DRIVING,1.94
346504.881068,4070182.842606,0,DRIVING,1.94
346505.021317,4070182.697134,0,DRIVING,1.94
346505.161566,4070182.551662,0,DRIVING,1.94
346505.301815,4070182.40619,0,DRIVING,1.94
346505.442063,4070182.260718,0,DRIVING,1.94
346505.582312,4070182.115246,0,DRIVING,1.94
346505.722561,4070181.969774,0,DRIVING,1.94
346505.86281,4070181.824302,0,DRIVING,1.94
346506.003059,4070181.67883,0,DRIVING,1.94
346506.143308,4070181.533359,0,DRIVING,1.94
346506.283557,4070181.387887,0,DRIVING,1.94
346506.423805,4070181.242415,0,DRIVING,1.94
346506.564054,4070181.096943,0,DRIVING,1.94
346506.704303,4070180.951471,0,DRIVING,1.94
346506.844552,4070180.805999,0,DRIVING,1.94
346506.986044,4070180.661958,0,DRIVING,1.94
346507.127537,4070180.517917,0,DRIVING,1.94
346507.269029,4070180.373876,0,DRIVING,1.94
346507.410521,4070180.229836,0,DRIVING,1.94
346507.552014,4070180.085795,0,DRIVING,1.94
346507.693506,4070179.941754,0,DRIVING,1.94
346507.834999,4070179.797713,0,DRIVING,1.94
346507.976491,4070179.653672,0,DRIVING,1.94
346508.117983,4070179.509631,0,DRIVING,1.94
346508.259476,4070179.36559,0,DRIVING,1.94
346508.400968,4070179.22155,0,DRIVING,1.94
346508.54246,4070179.077509,0,DRIVING,1.94
346508.683953,4070178.933468,0,DRIVING,1.94
346508.825445,4070178.789427,0,DRIVING,1.94
346508.966937,4070178.645386,0,DRIVING,1.94
346509.10843,4070178.501345,0,DRIVING,1.94
346509.249922,4070178.357304,0,DRIVING,1.94
346509.391414,4070178.213264,0,DRIVING,1.94
346509.532907,4070178.069223,0,DRIVING,1.94
346509.674399,4070177.925182,0,DRIVING,1.94
346509.815892,4070177.781141,0,DRIVING,1.94
346509.957384,4070177.6371,0,DRIVING,1.94
346510.098876,4070177.493059,0,DRIVING,1.94
346510.240369,4070177.349019,0,DRIVING,1.94
346510.381861,4070177.204978,0,DRIVING,1.94
346510.523353,4070177.060937,0,DRIVING,1.94
346510.664846,4070176.916896,0,DRIVING,1.94
346510.806338,4070176.772855,0,DRIVING,1.94
346510.94783,4070176.628814,0,DRIVING,1.94
346511.089323,4070176.484773,0,DRIVING,1.94
346511.230815,4070176.340733,0,DRIVING,1.94
346511.372307,4070176.196692,0,DRIVING,1.94
346511.5138,4070176.052651,0,DRIVING,1.94
346511.655292,4070175.90861,0,DRIVING,1.94
346511.796785,4070175.764569,0,DRIVING,1.94
346511.938277,4070175.620528,0,DRIVING,1.94
346512.079769,4070175.476487,0,DRIVING,1.94
346512.221262,4070175.332447,0,DRIVING,1.94
346512.362754,4070175.188406,0,DRIVING,1.94
346512.504246,4070175.044365,0,DRIVING,1.94
346512.645739,4070174.900324,0,DRIVING,1.94
346512.787231,4070174.756283,0,DRIVING,1.94
346512.928723,4070174.612242,0,DRIVING,1.94
346513.070216,4070174.468201,0,DRIVING,1.94
346513.213151,4070174.306563,0,DRIVING,1.94
346513.356086,4070174.144925,0,DRIVING,1.94
346513.499021,4070173.983286,0,DRIVING,1.94
346513.635939,4070173.818057,0,DRIVING,1.94
346513.772856,4070173.652827,0,DRIVING,1.94
346513.909774,4070173.487598,0,DRIVING,1.94
346514.04365,4070173.318723,0,DRIVING,1.94
346514.177526,4070173.149849,0,DRIVING,1.94
346514.311402,4070172.980975,0,DRIVING,1.94
346514.412151,4070172.7905,0,DRIVING,1.94
346514.512899,4070172.600026,0,DRIVING,1.94
346514.613647,4070172.409551,0,DRIVING,1.94
346514.705536,4070172.222935,0,DRIVING,1.94
346514.797425,4070172.036319,0,DRIVING,1.94
346514.889314,4070171.849703,0,DRIVING,1.94
